invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
24-229-9867,4328527509,Female,77,Sports Equipment,4,1608,Cash,14-10-2023,SM City Cebu
33-642-4898,9486461791,Female,77,Books,2,779,Cash,26-03-2023,SM Seaside City Cebu
62-335-7898,8799742845,Female,60,Music,3,1454,Cash,26-08-2023,SM Seaside City Cebu
79-808-3748,8781066562,Male,28,Electronics,1,1643,Debit,04-06-2023,SM Mall of Asia
36-989-5487,9146731415,Female,70,Pet Supplies,1,826,Cash,30-11-2021,SM City Fairview
68-829-7750,1105557340,Female,70,Home Goods,1,1123,Cash,06-08-2022,SM Megamall
38-378-8491,1839134305,Female,28,Home Goods,4,1275,Debit,26-03-2022,SM Mall of Asia
50-431-4018,5717195044,Female,17,Toys,2,1010,Credit Card,28-12-2021,SM Seaside City Cebu
22-121-3520,3640138724,Male,65,Food,4,1953,Cash,28-10-2022,SM Seaside City Cebu
79-573-5945,9492212161,Female,74,Books,1,1948,Debit,10-07-2023,SM City Fairview
44-538-9415,1933836164,Female,33,Electronics,4,467,Cash,02-03-2022,SM Mall of Asia
32-383-7955,4821176653,Female,64,Electronics,2,1331,Credit Card,11-06-2022,SM City North EDSA
03-564-2666,3253160610,Male,76,Music,3,1673,Cash,31-08-2021,SM City Cebu
19-081-4294,8719235674,Female,74,Beauty,3,1822,Credit Card,25-04-2022,SM City Cebu
52-345-2198,7353714301,Female,44,Books,2,1089,Cash,28-02-2022,SM City North EDSA
35-808-4221,3192001313,Male,49,Home Goods,1,1881,Credit Card,17-01-2021,SM City Cebu
13-499-6105,3671497491,Female,77,Beauty,5,1952,Debit,18-03-2022,SM City Fairview
13-970-5905,2254209361,Female,72,Books,3,353,Credit Card,31-03-2022,SM Megamall
80-718-0198,9509139718,Female,17,Books,3,1556,Cash,02-04-2023,SM Mall of Asia
72-691-3112,1045571288,Female,17,Electronics,3,1760,Credit Card,12-02-2021,SM Megamall
64-174-9675,923457011,Female,35,Electronics,5,1335,Cash,02-08-2023,SM Megamall
88-480-3607,6277083198,Male,17,Home Goods,1,1029,Debit,17-05-2023,SM Seaside City Cebu
02-563-5519,9460368115,Female,72,Music,5,1769,Credit Card,24-10-2021,SM City Fairview
19-556-6281,1017522685,Male,55,Toys,3,1732,Debit,06-02-2022,SM Megamall
58-228-9598,5757064463,Female,23,Food,1,1993,Cash,13-04-2023,SM Megamall
70-597-3454,510027385,Female,34,Home Goods,4,1393,Cash,26-10-2023,SM Megamall
67-162-1251,1887489568,Male,15,Electronics,4,426,Debit,02-09-2021,SM City Fairview
31-861-5170,8442142940,Male,71,Beauty,4,1040,Cash,07-09-2022,SM City North EDSA
97-075-0159,4897451566,Male,21,Beauty,2,682,Cash,22-04-2021,SM City Fairview
30-874-2634,288351436,Female,17,Beauty,1,1343,Credit Card,10-07-2022,SM Megamall
77-162-5650,4384965451,Male,74,Toys,4,106,Credit Card,23-10-2021,SM City North EDSA
81-643-0232,848004752,Female,63,Home Goods,4,1387,Cash,14-05-2021,SM City Fairview
89-437-0542,1826208577,Female,21,Beauty,4,1397,Debit,22-09-2022,SM Seaside City Cebu
85-514-8164,6290274414,Female,28,Sports Equipment,5,131,Cash,24-02-2021,SM Mall of Asia
40-155-2358,3079980069,Female,42,Electronics,3,1200,Credit Card,19-07-2023,SM Megamall
09-816-0553,1552881024,Female,35,Toys,3,611,Debit,23-03-2022,SM Mall of Asia
09-678-6154,4806612871,Male,43,Electronics,5,1321,Debit,27-09-2023,SM Seaside City Cebu
17-172-3571,189122706,Female,17,Pet Supplies,4,1734,Debit,26-09-2021,SM City North EDSA
37-229-1245,1891561987,Male,36,Music,1,1525,Cash,20-11-2021,SM Mall of Asia
08-180-8451,1577266382,Male,49,Clothing,2,1118,Credit Card,26-04-2022,SM City North EDSA
74-474-1636,5527566572,Female,37,Electronics,3,420,Credit Card,21-08-2021,SM City Fairview
73-301-9179,2363894936,Male,34,Sports Equipment,4,410,Debit,04-03-2022,SM Mall of Asia
43-950-0137,3037094230,Male,71,Home Goods,1,1815,Credit Card,02-01-2023,SM Megamall
05-243-7389,3132438480,Female,69,Pet Supplies,5,590,Debit,28-04-2021,SM City Cebu
75-701-1504,5350012568,Male,66,Clothing,3,1244,Cash,27-04-2021,SM Seaside City Cebu
93-056-5797,4009835028,Female,46,Beauty,3,1811,Debit,26-06-2021,SM Megamall
23-278-0379,9422428432,Female,72,Home Goods,2,1750,Credit Card,28-07-2021,SM Mall of Asia
12-384-2845,1382528132,Male,75,Home Goods,3,1723,Debit,21-10-2022,SM Megamall
22-912-0601,6484903468,Male,38,Home Goods,4,146,Debit,25-08-2021,SM City North EDSA
57-954-6472,7563382011,Female,63,Toys,3,765,Cash,17-12-2022,SM City North EDSA
25-420-3904,2543618694,Female,71,Toys,5,562,Debit,31-12-2022,SM Megamall
59-631-6754,1087640806,Female,32,Sports Equipment,2,1575,Cash,10-03-2023,SM Mall of Asia
71-583-5030,7140476292,Male,18,Pet Supplies,1,932,Cash,26-06-2022,SM City Fairview
48-068-9387,8954715966,Female,60,Food,3,1835,Cash,12-11-2022,SM Mall of Asia
55-212-2679,2586836995,Female,40,Sports Equipment,4,271,Cash,30-01-2021,SM City Cebu
74-589-9585,4052401891,Male,60,Food,4,1684,Credit Card,23-10-2022,SM Seaside City Cebu
73-606-5845,491241518,Male,20,Toys,5,1788,Debit,05-04-2023,SM Mall of Asia
74-304-2540,1773311107,Male,49,Home Goods,3,1575,Debit,22-04-2022,SM Mall of Asia
68-805-8413,3840016991,Male,23,Electronics,2,315,Cash,25-06-2023,SM City Fairview
42-138-9486,6824277169,Female,80,Food,1,376,Debit,31-01-2023,SM Mall of Asia
51-860-0028,3155931345,Male,37,Beauty,5,1655,Debit,21-11-2021,SM City Cebu
98-495-1528,2697466096,Male,64,Sports Equipment,2,1014,Credit Card,25-02-2021,SM City North EDSA
63-386-4561,4311852568,Male,32,Home Goods,5,588,Credit Card,23-11-2021,SM Megamall
82-581-7848,9106144853,Female,79,Clothing,4,333,Credit Card,27-04-2022,SM City Fairview
32-986-6483,4518719743,Male,29,Sports Equipment,3,500,Debit,25-06-2022,SM City North EDSA
46-980-8049,6690119882,Male,35,Beauty,1,883,Debit,20-11-2022,SM Megamall
62-639-9382,5487869839,Female,48,Clothing,1,1898,Debit,10-02-2022,SM Mall of Asia
61-627-7251,7186442307,Female,44,Electronics,5,1030,Cash,19-12-2022,SM Seaside City Cebu
99-921-7960,1197702431,Male,69,Sports Equipment,3,669,Debit,08-02-2023,SM Seaside City Cebu
63-244-6488,4373236100,Male,52,Beauty,3,1179,Credit Card,10-10-2021,SM City North EDSA
27-242-9615,2591084181,Female,16,Sports Equipment,4,1749,Cash,13-12-2021,SM Megamall
05-319-7821,8592296250,Female,35,Clothing,3,304,Debit,10-02-2021,SM City Cebu
46-547-9781,9522051772,Male,39,Electronics,5,66,Credit Card,18-12-2022,SM Mall of Asia
14-845-1809,4396852630,Male,46,Beauty,3,793,Cash,25-10-2021,SM City Fairview
85-936-7385,6402751987,Female,29,Home Goods,4,165,Debit,04-07-2022,SM Megamall
95-297-2908,8018026572,Male,23,Beauty,2,894,Credit Card,06-06-2022,SM Seaside City Cebu
39-518-9185,4497863190,Female,33,Music,5,1716,Cash,16-11-2023,SM City Cebu
61-350-7325,1217353879,Female,47,Sports Equipment,2,297,Credit Card,17-07-2021,SM City North EDSA
99-681-4397,1233447289,Male,19,Electronics,2,1776,Cash,05-06-2022,SM City North EDSA
35-132-4995,4139477636,Female,50,Electronics,5,1616,Credit Card,21-11-2021,SM Seaside City Cebu
08-010-0574,9031047554,Male,40,Electronics,2,1476,Cash,31-03-2021,SM Seaside City Cebu
80-897-2210,9831670000,Male,72,Music,3,857,Cash,03-11-2022,SM City Fairview
93-573-0262,9992588543,Male,42,Electronics,2,723,Debit,15-01-2022,SM City North EDSA
72-785-8315,9184404027,Female,26,Toys,2,659,Debit,19-11-2021,SM City Cebu
07-392-3729,1158734646,Male,62,Music,1,895,Credit Card,29-05-2021,SM City Fairview
20-337-1420,1002083907,Male,28,Electronics,5,775,Credit Card,19-11-2021,SM Megamall
78-751-2458,7232611552,Female,52,Clothing,1,1587,Cash,09-05-2021,SM Megamall
49-908-5221,3116290687,Male,23,Beauty,2,293,Debit,18-09-2021,SM City Fairview
61-925-9388,2582705330,Male,24,Clothing,2,1093,Debit,09-11-2022,SM City North EDSA
04-556-7302,3317325836,Male,72,Home Goods,1,1050,Cash,07-05-2022,SM Megamall
56-035-9804,4874882757,Male,58,Sports Equipment,5,526,Debit,12-10-2023,SM Mall of Asia
16-940-6761,3631949588,Female,41,Beauty,1,265,Credit Card,12-08-2021,SM Mall of Asia
60-836-2615,5575496740,Male,15,Sports Equipment,4,1000,Debit,08-09-2023,SM City Cebu
60-995-5041,3041053004,Female,39,Food,3,1966,Cash,03-07-2022,SM City Cebu
71-339-9599,9150951076,Female,26,Home Goods,3,147,Debit,18-12-2022,SM Mall of Asia
63-520-3154,5186482943,Male,26,Pet Supplies,5,71,Cash,07-05-2023,SM City Cebu
15-946-0740,9099478356,Female,69,Pet Supplies,4,1954,Cash,22-01-2023,SM Megamall
64-749-7557,5521660925,Male,43,Electronics,1,730,Debit,21-03-2022,SM Mall of Asia
36-615-7925,6770976498,Male,67,Electronics,2,1022,Credit Card,20-03-2023,SM City Cebu
91-896-1880,7368863650,Female,54,Home Goods,2,1186,Debit,16-09-2022,SM City North EDSA
82-104-0555,2137282771,Female,21,Electronics,3,1770,Cash,17-07-2023,SM City Fairview
92-597-8220,608029513,Male,39,Home Goods,2,457,Credit Card,15-10-2022,SM City Fairview
85-839-1749,2775864600,Male,39,Beauty,1,178,Cash,19-09-2022,SM Megamall
09-954-1483,3698333783,Female,40,Electronics,2,148,Cash,04-01-2023,SM City Cebu
46-548-7356,1797982702,Female,69,Home Goods,4,437,Cash,29-01-2021,SM Megamall
41-758-1325,8148415676,Female,63,Beauty,2,984,Credit Card,18-08-2023,SM Seaside City Cebu
22-779-2133,532525884,Male,44,Food,1,439,Credit Card,10-08-2022,SM Megamall
51-007-5443,9479396521,Female,33,Beauty,4,603,Cash,22-04-2021,SM City Cebu
73-170-2305,5534503300,Male,55,Beauty,4,701,Cash,26-05-2022,SM City North EDSA
51-453-6378,721420206,Male,38,Pet Supplies,4,207,Debit,06-05-2023,SM Mall of Asia
73-869-1604,3059753369,Male,27,Food,3,448,Credit Card,26-08-2022,SM Megamall
80-789-0341,293420335,Female,60,Toys,3,996,Cash,18-04-2021,SM City Fairview
50-480-4642,6553364176,Male,27,Music,2,389,Credit Card,06-07-2021,SM City Cebu
06-636-0614,1487180810,Male,68,Toys,4,1752,Cash,09-11-2023,SM City Cebu
20-530-3680,9850377453,Female,29,Home Goods,4,1108,Credit Card,29-08-2021,SM City Cebu
98-458-5777,9532649484,Male,44,Sports Equipment,1,553,Cash,21-03-2021,SM City North EDSA
38-537-2461,392868008,Male,68,Clothing,4,889,Credit Card,27-08-2022,SM Megamall
20-202-8399,1755289626,Female,56,Books,1,862,Cash,11-07-2021,SM Seaside City Cebu
29-097-6023,7946170246,Female,79,Electronics,1,1788,Credit Card,12-05-2022,SM City Fairview
10-744-8710,3112661125,Female,45,Clothing,2,1107,Credit Card,13-06-2021,SM Seaside City Cebu
80-957-4006,5819350685,Female,72,Electronics,2,1343,Debit,09-06-2023,SM City Fairview
09-358-5853,904019454,Female,65,Sports Equipment,3,1277,Debit,03-03-2022,SM Mall of Asia
94-789-3014,2214232036,Female,15,Music,5,1064,Cash,18-11-2021,SM City Fairview
01-247-7997,8893498936,Female,20,Sports Equipment,1,250,Credit Card,10-09-2023,SM Mall of Asia
54-047-8766,7325948522,Female,41,Sports Equipment,2,235,Credit Card,13-04-2021,SM Megamall
37-039-3313,9655969770,Female,73,Food,4,553,Debit,22-08-2021,SM Mall of Asia
42-960-1887,8259148854,Female,50,Pet Supplies,3,664,Cash,25-02-2022,SM City Fairview
93-010-9616,6179940215,Male,40,Toys,3,1318,Credit Card,16-02-2022,SM City Fairview
60-924-0146,9257506649,Male,68,Home Goods,3,512,Cash,27-08-2022,SM City Cebu
90-154-9570,1177372428,Male,61,Toys,1,257,Debit,13-01-2023,SM City Fairview
59-951-2398,2175929086,Male,18,Sports Equipment,3,45,Cash,15-10-2021,SM Megamall
22-119-8946,4899537913,Female,57,Food,1,1286,Debit,28-04-2022,SM City Fairview
31-880-1032,7624294206,Female,44,Toys,5,74,Debit,10-11-2023,SM Mall of Asia
49-214-5611,4022883782,Female,42,Beauty,3,416,Cash,13-07-2023,SM Megamall
03-476-8628,9447887937,Male,42,Home Goods,4,507,Debit,20-10-2021,SM City North EDSA
85-727-1724,6492833430,Male,21,Clothing,2,431,Cash,25-05-2022,SM Seaside City Cebu
08-906-3104,8626691823,Female,21,Beauty,2,1801,Credit Card,26-11-2023,SM Seaside City Cebu
78-899-1452,3854431899,Male,23,Home Goods,1,6,Credit Card,10-09-2022,SM Megamall
26-329-5989,6360615207,Male,80,Pet Supplies,2,1182,Credit Card,12-12-2021,SM City North EDSA
71-049-0463,2357628928,Female,48,Music,1,43,Cash,28-01-2022,SM City Cebu
20-933-0572,6138495330,Female,40,Food,3,350,Credit Card,10-06-2021,SM Mall of Asia
02-062-1172,9997730488,Male,43,Food,3,692,Debit,24-11-2023,SM City North EDSA
23-125-4547,5573206338,Male,47,Beauty,2,688,Debit,20-01-2021,SM Megamall
65-276-8527,8477063753,Male,67,Electronics,3,340,Credit Card,10-01-2021,SM Seaside City Cebu
48-241-8148,5961968685,Male,46,Food,5,1775,Cash,02-04-2021,SM City North EDSA
06-807-7366,1310567840,Female,63,Toys,4,304,Debit,15-08-2021,SM Seaside City Cebu
45-309-5328,3893485937,Male,62,Electronics,2,1528,Credit Card,17-07-2023,SM Megamall
29-892-2263,5763544099,Female,75,Books,4,989,Debit,14-09-2021,SM Seaside City Cebu
11-824-2871,3003987135,Male,27,Books,5,1611,Debit,12-03-2021,SM City North EDSA
64-364-2066,2704479844,Male,17,Clothing,5,314,Cash,20-07-2021,SM City Fairview
09-202-2509,1086090489,Female,64,Books,2,1419,Debit,08-04-2021,SM Seaside City Cebu
66-308-5505,9145869405,Male,18,Beauty,2,1154,Cash,24-08-2022,SM Megamall
70-109-2672,5870786525,Female,68,Home Goods,5,1156,Credit Card,05-05-2023,SM City Fairview
52-979-7445,7652472016,Male,24,Sports Equipment,3,94,Credit Card,16-08-2022,SM City Cebu
28-931-1610,6476789120,Female,68,Food,4,286,Cash,05-03-2021,SM City North EDSA
34-800-7533,6841085507,Female,69,Clothing,5,437,Credit Card,21-10-2022,SM Seaside City Cebu
15-681-0706,1514274701,Male,43,Beauty,5,560,Credit Card,02-11-2022,SM City North EDSA
64-169-7490,7989317567,Male,27,Home Goods,1,1348,Credit Card,04-08-2023,SM Seaside City Cebu
09-614-8525,7963633364,Male,28,Pet Supplies,3,886,Credit Card,23-07-2022,SM City Fairview
41-983-9553,9949986079,Female,80,Clothing,3,841,Debit,05-11-2021,SM City North EDSA
90-898-3709,6049533644,Male,41,Electronics,1,1123,Debit,30-12-2021,SM City North EDSA
34-705-3434,1502368668,Female,35,Books,5,679,Debit,04-04-2021,SM Mall of Asia
90-439-9162,7014697080,Female,31,Food,3,685,Cash,10-01-2021,SM Seaside City Cebu
37-122-5073,7072202250,Female,16,Pet Supplies,1,387,Debit,22-03-2023,SM Megamall
94-451-6652,4914262843,Female,45,Home Goods,2,1926,Debit,20-01-2022,SM Seaside City Cebu
07-031-2977,5904765495,Male,73,Pet Supplies,5,702,Cash,15-06-2022,SM Megamall
84-965-6078,1973198894,Male,47,Toys,4,106,Debit,06-12-2021,SM City Cebu
56-524-7762,1036660370,Male,53,Clothing,1,431,Debit,29-09-2021,SM Megamall
75-332-9652,8161886350,Male,48,Toys,2,486,Debit,07-05-2021,SM Mall of Asia
46-363-0407,9508275499,Male,56,Toys,4,83,Credit Card,26-02-2021,SM Mall of Asia
31-715-4738,2478286971,Female,17,Books,1,348,Debit,07-11-2021,SM City Fairview
07-830-7984,5080557117,Female,73,Toys,3,1901,Credit Card,28-11-2023,SM Seaside City Cebu
84-070-7926,1651715521,Female,36,Clothing,4,790,Cash,25-05-2023,SM City Cebu
42-936-8499,3280321468,Male,43,Home Goods,3,294,Debit,30-04-2023,SM City North EDSA
35-531-0354,2114784398,Male,23,Books,5,749,Credit Card,24-04-2023,SM Megamall
29-862-0201,3593956454,Female,36,Food,4,1908,Debit,15-08-2023,SM City Fairview
18-232-4148,2575889626,Male,15,Electronics,3,145,Debit,27-02-2023,SM Megamall
16-467-5788,7743180735,Female,33,Toys,5,855,Cash,23-08-2023,SM City North EDSA
84-310-1406,4375015225,Male,71,Music,2,945,Cash,12-10-2022,SM City Fairview
35-116-3220,2534699369,Female,41,Pet Supplies,5,851,Credit Card,05-02-2021,SM City Fairview
26-670-9326,5932923350,Female,36,Food,4,585,Debit,09-02-2023,SM Megamall
86-306-4572,2751710980,Female,51,Beauty,1,1557,Credit Card,08-09-2022,SM Mall of Asia
57-764-8527,7114481357,Male,68,Home Goods,4,674,Debit,03-01-2021,SM Seaside City Cebu
71-072-7521,720704138,Female,45,Toys,1,524,Cash,13-07-2023,SM City Cebu
72-872-4301,2564724000,Male,18,Beauty,3,1102,Cash,14-05-2023,SM City Fairview
07-268-4330,4045405100,Female,19,Beauty,2,1778,Debit,01-09-2023,SM Megamall
29-129-5171,1419387731,Female,26,Pet Supplies,1,1456,Credit Card,17-10-2023,SM City North EDSA
84-772-4433,2043023640,Female,61,Music,5,1257,Cash,14-05-2023,SM Seaside City Cebu
24-638-6258,8180924769,Male,49,Music,3,1303,Cash,08-05-2022,SM City Cebu
14-396-7839,6857878714,Female,43,Beauty,5,69,Credit Card,24-08-2023,SM City Fairview
63-107-7485,8231905251,Male,57,Beauty,5,1600,Credit Card,20-09-2022,SM Megamall
08-235-6805,117839434,Male,18,Toys,3,1675,Cash,04-07-2023,SM Megamall
46-014-2103,8732845081,Male,63,Toys,4,1177,Cash,15-07-2022,SM City Cebu
63-751-5003,1738212726,Female,15,Beauty,1,916,Cash,17-11-2021,SM Seaside City Cebu
38-179-2547,7666260962,Male,20,Beauty,2,873,Debit,09-05-2022,SM Megamall
25-236-3213,7468408726,Female,62,Books,5,351,Cash,23-05-2023,SM Megamall
63-453-9114,6397745384,Male,63,Books,2,364,Credit Card,12-07-2022,SM City Fairview
26-366-1929,9385339664,Female,67,Electronics,3,1428,Cash,12-11-2021,SM Megamall
49-332-8307,8744136285,Female,22,Beauty,5,1964,Cash,08-02-2023,SM City Fairview
19-661-2475,7762056416,Male,66,Books,1,741,Cash,02-06-2023,SM City Cebu
33-229-4586,4023103942,Female,42,Music,3,556,Debit,28-02-2021,SM City Cebu
80-806-8295,9727482201,Male,17,Beauty,2,584,Cash,23-04-2022,SM City Cebu
56-257-6425,6221792142,Male,74,Music,4,1296,Cash,15-01-2022,SM City North EDSA
99-330-4429,1185205144,Female,52,Electronics,1,50,Credit Card,10-10-2021,SM Megamall
75-801-5051,6767307890,Female,62,Beauty,4,1809,Credit Card,20-02-2023,SM City North EDSA
92-516-1640,3620014124,Male,52,Food,2,1094,Credit Card,04-02-2023,SM City Fairview
10-025-7433,9864730533,Female,62,Beauty,4,1021,Credit Card,25-03-2023,SM City North EDSA
96-084-4959,9167684149,Male,24,Books,5,567,Cash,29-06-2022,SM City Cebu
55-858-7043,9088305439,Female,63,Home Goods,1,717,Cash,10-07-2021,SM City Fairview
04-271-4011,5663269363,Female,63,Toys,3,1048,Debit,21-10-2022,SM Seaside City Cebu
89-890-5435,2580785124,Female,68,Electronics,2,192,Debit,30-09-2023,SM Megamall
03-432-8972,2012741800,Male,21,Books,2,870,Credit Card,10-05-2022,SM Mall of Asia
97-629-8239,5254955392,Male,27,Home Goods,4,865,Cash,24-07-2022,SM Megamall
94-451-6586,7493888841,Male,28,Toys,5,84,Cash,07-10-2022,SM City Fairview
76-951-8387,6554055134,Female,38,Home Goods,4,1227,Cash,18-04-2021,SM Mall of Asia
25-925-8409,4387858125,Male,54,Home Goods,5,117,Debit,01-09-2021,SM Seaside City Cebu
13-575-2080,4294029188,Female,29,Books,4,128,Debit,29-01-2023,SM Megamall
30-680-1059,630874174,Female,63,Food,5,932,Cash,05-01-2021,SM Seaside City Cebu
49-787-0023,5407474891,Male,75,Books,4,230,Cash,04-05-2022,SM Mall of Asia
50-849-7912,8470443038,Male,72,Home Goods,1,1529,Cash,21-04-2023,SM Megamall
36-761-0861,6092080451,Male,47,Electronics,5,476,Credit Card,25-09-2023,SM Megamall
29-598-9200,7888986501,Female,31,Sports Equipment,5,377,Cash,18-06-2023,SM Mall of Asia
10-557-3656,5669177584,Female,26,Music,4,150,Credit Card,17-08-2022,SM City Fairview
13-624-5666,307711439,Female,47,Home Goods,3,76,Debit,21-02-2021,SM City Cebu
11-475-6715,7307307308,Male,78,Food,2,1887,Debit,18-04-2021,SM Megamall
26-608-0741,5554334156,Male,52,Pet Supplies,3,267,Debit,13-05-2023,SM Mall of Asia
54-127-4567,3574482663,Female,67,Pet Supplies,3,1109,Credit Card,13-03-2021,SM Megamall
95-886-1352,3775168214,Male,37,Pet Supplies,3,1687,Credit Card,20-02-2022,SM Megamall
83-119-6141,9948946065,Female,27,Toys,2,444,Credit Card,12-11-2023,SM Megamall
00-857-0892,7453378923,Female,38,Food,1,1445,Debit,19-11-2021,SM Megamall
49-637-2882,6750450733,Female,68,Music,3,1841,Credit Card,30-01-2023,SM City North EDSA
93-961-3188,384176585,Female,56,Toys,1,72,Debit,24-05-2023,SM Seaside City Cebu
06-278-0247,4293587683,Female,23,Books,3,1758,Cash,09-11-2022,SM City Cebu
25-847-4823,3814832310,Male,47,Clothing,3,526,Cash,18-03-2021,SM Seaside City Cebu
14-785-4472,7072411895,Male,24,Clothing,3,1202,Cash,18-09-2023,SM City Fairview
67-667-3431,8034773360,Female,60,Clothing,3,981,Debit,07-02-2021,SM City North EDSA
49-203-6748,1085033260,Female,72,Electronics,5,1839,Debit,18-06-2021,SM Megamall
83-025-6509,3550093500,Female,54,Sports Equipment,5,1092,Cash,01-01-2023,SM Seaside City Cebu
58-557-3194,7503310537,Female,49,Toys,5,340,Cash,21-06-2023,SM Megamall
36-392-2830,1464848173,Female,43,Books,3,345,Debit,12-05-2021,SM City Fairview
49-691-0605,1947128736,Male,30,Food,2,3,Debit,05-04-2022,SM Megamall
40-535-4073,3899370287,Female,59,Home Goods,1,799,Debit,28-06-2021,SM City North EDSA
78-588-7390,1492654205,Male,61,Books,4,1315,Debit,26-08-2022,SM Megamall
50-447-4532,3192293837,Female,44,Books,2,276,Credit Card,30-11-2022,SM City Cebu
13-295-5555,9037117082,Female,29,Books,3,1024,Debit,07-07-2022,SM Mall of Asia
98-272-1279,1253181616,Male,28,Sports Equipment,3,1511,Debit,17-06-2021,SM Megamall
81-836-2059,1653098015,Female,69,Toys,2,918,Credit Card,05-04-2021,SM Megamall
08-471-1971,841743843,Female,17,Sports Equipment,1,1526,Cash,30-03-2022,SM Seaside City Cebu
78-753-7400,7795341403,Female,60,Beauty,4,878,Credit Card,25-08-2021,SM City Cebu
94-804-1791,2475310294,Male,74,Toys,3,223,Debit,08-11-2021,SM Seaside City Cebu
43-542-0259,352337346,Male,54,Sports Equipment,2,1376,Cash,25-07-2021,SM City Cebu
99-458-8753,3153076405,Female,77,Pet Supplies,3,832,Debit,15-01-2021,SM Megamall
18-696-0362,9836399194,Male,58,Music,4,264,Credit Card,02-10-2022,SM City North EDSA
87-509-0410,4981010214,Female,31,Sports Equipment,3,599,Cash,13-06-2023,SM Mall of Asia
24-061-1415,8993483043,Male,34,Food,3,73,Debit,02-09-2022,SM Mall of Asia
03-189-7222,1385069368,Female,73,Home Goods,1,1508,Cash,15-11-2023,SM City Fairview
21-718-7919,1501739530,Male,30,Music,4,571,Cash,09-03-2023,SM City Fairview
05-236-6762,5614779752,Male,67,Pet Supplies,4,327,Credit Card,16-04-2023,SM Megamall
53-398-7755,6991740306,Female,58,Electronics,4,662,Cash,18-07-2022,SM City Cebu
67-860-7347,9780885609,Male,76,Home Goods,5,129,Cash,02-05-2021,SM Megamall
75-223-3871,1004563469,Male,17,Clothing,1,1948,Cash,10-11-2022,SM Megamall
80-525-6895,2569823007,Female,77,Home Goods,3,1645,Debit,02-10-2021,SM Seaside City Cebu
45-252-0346,5193323472,Male,70,Toys,3,235,Cash,14-04-2023,SM Seaside City Cebu
69-488-2136,4633234145,Female,48,Clothing,4,840,Credit Card,19-05-2021,SM City North EDSA
48-403-0036,1922113921,Female,15,Food,3,1160,Cash,26-11-2022,SM City Cebu
28-022-7126,2693231116,Female,71,Sports Equipment,5,1632,Credit Card,11-06-2021,SM City Fairview
58-102-7171,3052355627,Female,80,Clothing,2,449,Debit,18-03-2023,SM City North EDSA
98-097-1381,9749298233,Female,39,Food,2,438,Cash,19-02-2021,SM Seaside City Cebu
63-584-0161,9956151823,Female,42,Clothing,5,429,Debit,25-09-2021,SM City Fairview
64-619-7412,8475903754,Female,75,Home Goods,1,502,Debit,10-11-2022,SM City North EDSA
58-948-3970,7449282372,Female,51,Pet Supplies,1,1306,Credit Card,24-05-2021,SM Seaside City Cebu
46-446-6427,6715298416,Female,41,Home Goods,2,1536,Cash,23-02-2021,SM City Fairview
18-721-7353,2520572558,Male,21,Music,5,1464,Credit Card,03-02-2021,SM City North EDSA
08-741-6026,1400036119,Female,64,Pet Supplies,5,640,Debit,04-03-2023,SM City North EDSA
27-029-2079,1722143975,Female,17,Electronics,2,1603,Credit Card,16-11-2021,SM Mall of Asia
46-560-1056,2876923688,Male,73,Toys,1,1677,Credit Card,29-11-2021,SM City Fairview
24-688-4457,5276922896,Male,48,Electronics,1,423,Credit Card,19-08-2022,SM City North EDSA
98-368-5863,5573589784,Female,17,Beauty,2,1713,Cash,26-11-2021,SM Seaside City Cebu
64-334-9439,1321216432,Male,69,Pet Supplies,2,1833,Credit Card,09-08-2022,SM City Cebu
40-216-0456,9359374865,Female,15,Electronics,2,743,Debit,17-10-2023,SM City Fairview
86-101-6034,863637434,Female,72,Electronics,2,291,Debit,16-03-2022,SM City Cebu
11-140-2412,4582621635,Male,21,Beauty,5,868,Cash,09-10-2023,SM Megamall
29-100-9429,8362238127,Male,23,Beauty,1,523,Debit,02-12-2023,SM City Fairview
05-463-1936,5546261234,Female,70,Electronics,4,1386,Cash,11-08-2023,SM City North EDSA
44-122-4561,5533506039,Male,31,Toys,3,1528,Credit Card,02-08-2022,SM Mall of Asia
82-044-3240,9018877069,Female,38,Food,3,1109,Debit,17-04-2021,SM City North EDSA
32-369-2152,1604042419,Female,27,Home Goods,3,1870,Credit Card,19-07-2022,SM Seaside City Cebu
37-056-1697,410220698,Female,57,Beauty,2,813,Debit,03-07-2022,SM Seaside City Cebu
58-792-5879,7020905692,Female,49,Electronics,1,1091,Credit Card,17-10-2023,SM Megamall
32-957-7281,2390611036,Female,47,Sports Equipment,4,1175,Cash,14-02-2023,SM Mall of Asia
02-190-4336,8044739866,Male,22,Toys,5,989,Debit,25-11-2021,SM Mall of Asia
43-641-0635,2956712950,Female,76,Food,3,6,Debit,28-02-2021,SM Mall of Asia
97-985-4626,4506247515,Male,41,Toys,3,1276,Cash,09-02-2023,SM Megamall
12-404-2954,7216835735,Male,49,Toys,3,283,Cash,09-02-2022,SM City Fairview
37-640-2695,5662221618,Male,54,Sports Equipment,2,1154,Credit Card,23-12-2023,SM City North EDSA
91-311-9342,1067999973,Male,30,Food,5,555,Cash,02-06-2023,SM Megamall
82-656-2354,9658806872,Female,68,Home Goods,3,1376,Cash,07-09-2022,SM City North EDSA
56-750-2617,6202835117,Male,66,Books,4,639,Debit,08-04-2021,SM City Fairview
